seg,title,bid,maxbid2x,allin,rlo,rhi,netlo,nethi,mlo,st,size,uf,end,estado,url,thumb
prata lei/contr,RR Antiguidades Antiga pequena Salva em prata de lei Portuguesa beliss,300.0,7,425,234,720,-207,245,0.55,0.49,peq/med,RJ,2026-07-18 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176483,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176483.jpg
prata lei/contr,RR Antiguidades Antiga pequena Salva em prata de lei Portuguesa beliss,300.0,7,425,234,720,-207,245,0.55,0.49,peq/med,RJ,2026-07-17 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176736,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176736.jpg
prata lei/contr,RR Antiguidades Antiga pequena Salva em prata de lei Portuguesa beliss,300.0,7,425,234,720,-207,245,0.55,0.49,peq/med,RJ,2026-07-18 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176322,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176322.jpg
vista alegre,"Lote composto de três xícaras para chá, e seus pires, em porcelana esm",100.0,15,215,252,488,19,239,1.17,0.65,peq/med,SP,2026-06-18 20:00,junho,https://vmescritarteleiloes.com.br/peca.asp?Id=31093299,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62422/31093299.jpg
limoges,"Linda violeteira em porcelana francesa Limoges de 18x7 cm, com estampa",100.0,15,215,252,486,19,237,1.17,0.58,peq/med,RS,2026-06-22 19:00,junho,https://santayana.com.br/peca.asp?Id=31214720,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62339/31214720.jpg
candelabro,"Lote de castiçal em porcelana, castiçal, vaso e enfeite em demicristal",40.0,0,152,162,414,-1,233,1.07,0.47,peq/med,,NaT,sem_data,https://prochicleiloes.com.br/peca.asp?Id=30944578,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62121/30944578.jpg
rosenthal,Rosenthal Selb-Germany Helena. Xícara de café com pires e prato de bol,120.0,24,236,270,504,15,233,1.14,0.55,peq/med,,NaT,sem_data,https://leiloeslemos.com.br/peca.asp?Id=31160863,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62442/31160863.jpg
candelabro,"Lote de vaso solifleur em porcelana, cinzeiro em vidro e castiçal em m",45.0,0,157,162,414,-7,228,1.03,0.47,peq/med,,NaT,sem_data,https://prochicleiloes.com.br/peca.asp?Id=31033028,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62121/31033028.jpg
prata lei/contr,RR AntiguidadesCordao em prata de lei trabalhada. Peca em prata pura t,320.0,7,446,234,720,-228,224,0.52,0.49,peq/med,RJ,2026-07-09 18:00,julho,https://rrdeco.com.br/peca.asp?Id=31063569,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063569.jpg
prata lei/contr,Lote de faca de fruta e abre cartas com pega em prata de lei. Medidas:,320.0,7,446,234,720,-228,224,0.52,0.49,peq/med,,NaT,sem_data,https://prochicleiloes.com.br/peca.asp?Id=30971079,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62060/30971079.jpg
