seg,title,bid,maxbid2x,allin,rlo,rhi,netlo,nethi,mlo,st,size,uf,end,estado,url,thumb
sevres,"Cinzeiro em grosso bloco de cristal de Sèvrés, Francês, incolor, image",38.0,324,150,900,2700,687,2361,6.0,0.39,peq/med,RJ,2026-06-22 15:00,junho,https://br.ernanileiloeiro.com.br/peca.asp?Id=29577144,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/56361/29577144.jpg
sevres,"ROYAL EUROPE  PEINTE À LA MAIN. Jarra tipo ânfora em porcelana, decora",260.0,324,383,900,2700,454,2128,2.35,0.39,peq/med,,NaT,sem_data,https://leiloeslemos.com.br/peca.asp?Id=31162617,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62442/31162617.jpg
brennand,BRENNAND - CONJUNTO DE SEIS XÍCARAS DE CAFÉ EM PORCELANA DOS ANOS 60. ,270.0,328,394,909,2520,452,1950,2.31,0.51,peq/med,RJ,2026-06-18 19:00,junho,https://paulaoantiguidades.com.br/peca.asp?Id=31001243,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61966/31001243.jpg
sevres,Sèvres - Importante caixa de jóias em porcelana decorada a ouro em alt,900.0,324,1055,900,2700,-218,1456,0.85,0.39,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31030236,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31030236.jpg
bronze escult,BRONZE - Escultura em bronze maciço representando gato de corpo alonga,30.0,112,202,576,1710,334,1389,2.86,0.29,medio,RJ,2026-06-16 19:00,junho,https://bruceangeirasleiloeiro.com.br/peca.asp?Id=31203696,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62664/31203696.jpg
bronze escult,"SEMIRAMIS Escultura em bronze, assinado Semiramis 29. Medidas:13cm x 7",100.0,112,275,576,1710,261,1315,2.09,0.29,medio,,NaT,sem_data,https://prochicleiloes.com.br/peca.asp?Id=31033362,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62121/31033362.jpg
bronze escult,Escultura em bronze representando bailarina sem assinatura. Altura: 38,150.0,112,328,576,1710,208,1263,1.76,0.29,medio,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31163820,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31163820.jpg
escult assinada,Antiga e rara escultura representando cavalo em ceramica vitrificada n,200.0,147,380,648,1719,223,1219,1.71,0.33,medio,RJ,2026-07-09 18:00,julho,https://rrdeco.com.br/peca.asp?Id=31063699,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063699.jpg
escult assinada,Antiga e rara escultura em porcelana representando buda com rica polic,200.0,147,380,648,1719,223,1219,1.71,0.33,medio,RJ,2026-07-11 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31064250,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31064250.jpg
baccarat,"Bela garrafa -licoreira, lapidação ao gosto Baccarat, altura 33cm.",50.0,236,162,716,1440,504,1177,4.41,0.52,peq/med,RJ,2026-06-22 15:00,junho,https://br.ernanileiloeiro.com.br/peca.asp?Id=31142026,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/56361/31142026.jpg
bronze escult,"Antiga escultura e ou cinzeiro em Bronze , representando Sabio. Peca c",250.0,112,432,576,1710,103,1158,1.33,0.29,medio,RJ,2026-07-10 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31063668,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063668.jpg
baccarat,MBP05-CONJUNTO DE 6 TAÇAS E CRISTAL (DEMI) TRANSPARENTE LAPIDADO POR F,75.0,236,189,716,1440,478,1150,3.8,0.52,peq/med,ES,2026-06-17 19:00,junho,https://cb-leiloeiro.com.br/peca.asp?Id=31180985,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61720/31180985.jpg
escult assinada,RR Antiguidades  Antigo porta joias em porcelana com belissimos detalh,280.0,147,464,648,1719,139,1135,1.4,0.33,medio,,NaT,sem_data,https://rrdeco.com.br/peca.asp?Id=30996180,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62089/30996180.jpg
bronze escult,"Belissima escultura elaborada por design bronze com marmore, medindo 3",290.0,112,474,576,1710,61,1116,1.21,0.29,medio,,NaT,sem_data,https://tallonileiloes.com.br/peca.asp?Id=31196051,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62687/31196051.jpg
baccarat,"Compoteira em cristal baccarat, transparente lapidado, acompanha prese",170.0,236,288,716,1440,378,1051,2.48,0.52,peq/med,RJ,2026-06-16 19:00,junho,https://rosanavaleleiloes.com.br/peca.asp?Id=29865875,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60441/29865875.jpg
bronze escult,RR Antiguidades Antiga diferente escultura de origem Egipcia. Peca apa,400.0,112,590,576,1710,-54,1000,0.98,0.29,medio,RJ,2026-07-18 18:00,julho,https://rrdeco.com.br/peca.asp?Id=30176565,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/60187/30176565.jpg
baccarat,PAR DE TAÇAS PARA CHAMPAGNE. BACCARAT MONOGRAMADAS B.I. LINDA LAPIDAÇÃ,280.0,236,404,716,1440,262,935,1.77,0.52,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024800,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024800.jpg
baccarat,"Cristallerie BACCARAT URALINA - Raro copo em cristal dito ""Uralina"" da",290.0,236,414,716,1440,252,925,1.73,0.52,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31003533,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31003533.jpg
baccarat,CINCO TAÇAS PARA VINHO BRANCO. BACCARAT MONOGRAMADAS B.I. LINDA LAPIDA,320.0,236,446,716,1440,220,893,1.61,0.52,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024799,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024799.jpg
baccarat,"Cristalerie Baccarat - Par de raros copos para vinho do porto, com ape",360.0,236,488,716,1440,178,851,1.47,0.52,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31003527,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31003527.jpg
baccarat,BACCARAT - MUG EM CRISTAL MOULLE RUBI E AMBAR COM BELISSIMA DECORAÇÃO ,380.0,236,509,716,1440,157,830,1.41,0.52,peq/med,SP,2026-06-16 20:00,junho,https://oficinacenarioleiloes.com.br/peca.asp?Id=30850756,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61890/30850756.jpg
capodimonte,"Capodimonte  Saleiro vintage em porcelana italiana, decorado com a mes",160.0,144,278,522,1184,207,823,1.88,0.56,peq/med,,NaT,sem_data,https://leiloeslemos.com.br/peca.asp?Id=31201957,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62442/31201957.jpg
baccarat,PEQUENA E ELEGANTE GARRAFA DE CRISTAL BACCARAT COM TAMPA ORIGINAL. PER,400.0,236,530,716,1440,136,809,1.35,0.52,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024911,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024911.jpg
baccarat,BACCARAT - Belíssima e delicada taça alta para vinho em cristal francê,400.0,236,530,716,1440,136,809,1.35,0.52,peq/med,RJ,2026-06-24 19:00,junho,https://anamelloleiloeira.com.br/peca.asp?Id=31132924,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61897/31132924.jpg
baccarat,DUAS LINDAS MAÇANETAS AO ESTILO FAVO DE MEL. CRISTAL BACCARAT. TONALID,500.0,236,635,716,1440,31,704,1.13,0.52,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024916,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024916.jpg
baccarat,LOTE COM DUAS MAÇANETAS CRISTAL BACCARAT. UMA FAVO DE MEL TONALIDADE R,500.0,236,635,716,1440,31,704,1.13,0.52,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024855,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024855.jpg
capodimonte,"Antigo e raro porta joias caixa em porcelana Capodimonte, tampa com be",300.0,144,425,522,1184,60,676,1.23,0.56,peq/med,RJ,2026-07-10 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31063776,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063776.jpg
baccarat,GARRAFA BACCARAT MONOGRAMADA B.I. RICA LAPIDAÇÃO. TAMPA ORIGINAL. PERF,550.0,236,688,716,1440,-21,652,1.04,0.52,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024798,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024798.jpg
baccarat,LINDA GARRAFA BACCARAT. EXPECIONAL LAPIDAÇÃO E TAMPA ORIGINAL. PERFEIT,600.0,236,740,716,1440,-74,599,0.97,0.52,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024796,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024796.jpg
baccarat,"Antigo e raro pequeno pote, porta comprimidos etc...confeccionado reci",600.0,236,740,716,1440,-74,599,0.97,0.52,peq/med,RJ,2026-07-09 18:00,julho,https://rrdeco.com.br/peca.asp?Id=31063230,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063230.jpg
wmf,"Lote de papa migalha, 2 petisqueiras e 1 cremeira em prata 90, sendo a",45.0,118,157,468,792,278,579,2.98,0.47,peq/med,,NaT,sem_data,https://prochicleiloes.com.br/peca.asp?Id=30944433,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62121/30944433.jpg
prata lei/contr,ANTIGA DEDEIRA DE COLEÇÃO EM PRATA DE LEI. MEDINDO 2 X 1.5 CM,20.0,7,131,234,720,87,539,1.79,0.49,peq/med,RJ,2026-06-18 19:00,junho,https://paulaoantiguidades.com.br/peca.asp?Id=31001272,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61966/31001272.jpg
prata lei/contr,ANTIGA PEÇA DE TOUCADOR EM PRATA DE LEI CONTRASTADA. CONFORME FOTOS. P,40.0,7,152,234,720,66,518,1.54,0.49,peq/med,RJ,2026-06-18 19:00,junho,https://paulaoantiguidades.com.br/peca.asp?Id=31072908,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61966/31072908.jpg
prata lei/contr,"PG111-ANTIGO COPINHO DE CRIANÇA (PRATA DE LEI - CONTRASTE 800), APROX.",44.0,7,156,234,720,61,513,1.5,0.49,peq/med,ES,2026-06-17 19:00,junho,https://cb-leiloeiro.com.br/peca.asp?Id=31100666,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61720/31100666.jpg
prata lei/contr,2 BROCHES PRODUZIDOS EM PRATA DE LEI (FLOR) E METAL PRATEADO ( TESOURA,60.0,7,173,234,720,45,497,1.35,0.49,peq/med,,NaT,sem_data,https://marthapadilhaleiloeira.lel.br/peca.asp?Id=31036149,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62355/31036149.jpg
baccarat,LINDO PAR DE MAÇANETAS AO ESTILO FAVO DE MEL. CRISTAL BACCARAT. TONALI,700.0,236,845,716,1440,-179,494,0.85,0.52,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024820,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024820.jpg
baccarat,Baccarat - Raro perfumeiro e sua tampa em opalina de Bacarat finamente,700.0,236,845,716,1440,-179,494,0.85,0.52,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31026517,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31026517.jpg
baccarat,LINDO PAR DE MAÇANETAS AO ESTILO FAVO DE MEL. CRISTAL BACCARAT. TONALI,700.0,236,845,716,1440,-179,494,0.85,0.52,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024854,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024854.jpg
baccarat,LINDO PAR DE MAÇANETAS AO ESTILO FAVO DE MEL. CRISTAL BACCARAT. TONALI,700.0,236,845,716,1440,-179,494,0.85,0.52,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024821,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024821.jpg
baccarat,LINDO PAR DE MAÇANETAS AO ESTILO FAVO DE MEL. CRISTAL BACCARAT. TONALI,700.0,236,845,716,1440,-179,494,0.85,0.52,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024822,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024822.jpg
baccarat,LINDO PAR DE MAÇANETAS AO ESTILO FAVO DE MEL. CRISTAL BACCARAT. TONALI,700.0,236,845,716,1440,-179,494,0.85,0.52,peq/med,,NaT,sem_data,https://wattenleiloes.com.br/peca.asp?Id=31024853,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62002/31024853.jpg
baccarat,"Baccarat - Service de nuit em opalina branca decorada a ouro, composto",700.0,236,845,716,1440,-179,494,0.85,0.52,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31026535,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31026535.jpg
prata lei/contr,"Colher decorativa em prata de lei, de elegante composição naturalista,",70.0,7,184,234,720,34,486,1.28,0.49,peq/med,,NaT,sem_data,https://rioarteleiloes.com.br/peca.asp?Id=31107923,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62093/31107923.jpg
prata lei/contr,"PG98-BELÍSSIMO ABRIDOR DE CORRESPONDÊNCIA EM PRATA 835 (PRATA DE LEI),",75.0,7,189,234,720,29,481,1.24,0.49,peq/med,ES,2026-06-17 19:00,junho,https://cb-leiloeiro.com.br/peca.asp?Id=31100661,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61720/31100661.jpg
prata lei/contr,"PG99-BELÍSSIMO ABRIDOR DE CORRESPONDÊNCIA COM FIGURA DE ""FONTE COM SER",75.0,7,189,234,720,29,481,1.24,0.49,peq/med,ES,2026-06-17 19:00,junho,https://cb-leiloeiro.com.br/peca.asp?Id=31100659,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61720/31100659.jpg
prata lei/contr,Sofisticado conjunto composto por prato para bolo e 4 pratos sobremesa,80.0,7,194,234,720,24,476,1.21,0.49,peq/med,RJ,2026-06-15 15:00,junho,https://mbantiguidades.com.br/peca.asp?Id=31190337,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62380/31190337.jpg
prata lei/contr,Par de abotuaduras em prata 925 quadrado com centro de pedras brancas,80.0,7,194,234,720,24,476,1.21,0.49,peq/med,RJ,2026-06-15 19:00,junho,https://tamiriscarvalholeiloeira.com.br/peca.asp?Id=30253097,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61656/30253097.jpg
prata lei/contr,LM76-COPINHO EM PRATA DE LEI (CONTRASTE 833); APROX. 6cm X 8cm E PESO ,85.0,7,199,234,720,18,470,1.17,0.49,peq/med,ES,2026-06-17 19:00,junho,https://cb-leiloeiro.com.br/peca.asp?Id=31108405,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61720/31108405.jpg
prata lei/contr,PRATA DE LEI - ANTIGO CORDÃO EM PRATA DE LEI TEOR 925 MLS. PESO TOTAL ,90.0,7,204,234,720,13,465,1.14,0.49,peq/med,RJ,2026-06-18 19:00,junho,https://paulaoantiguidades.com.br/peca.asp?Id=31088649,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61966/31088649.jpg
prata lei/contr,"LM77-MINI TACHO EM PRATA DE LEI (CONTRASTE ""PER-WELSOM 925""), APROX. 1",98.0,7,213,234,720,5,457,1.1,0.49,peq/med,ES,2026-06-17 19:00,junho,https://cb-leiloeiro.com.br/peca.asp?Id=31108407,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61720/31108407.jpg
prata lei/contr,"LM75-MINI BANDEJA COM FORMATO REDONDO, EM PRATA DE LEI, TROFÉU DE GOLF",105.0,7,220,234,720,-3,449,1.06,0.49,peq/med,ES,2026-06-17 19:00,junho,https://cb-leiloeiro.com.br/peca.asp?Id=31108401,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61720/31108401.jpg
prata lei/contr,"LM74-MINI BANDEJA COM FORMATO REDONDO, EM PRATA DE LEI, TROFÉU DE GOLF",105.0,7,220,234,720,-3,449,1.06,0.49,peq/med,ES,2026-06-17 19:00,junho,https://cb-leiloeiro.com.br/peca.asp?Id=31108399,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61720/31108399.jpg
opalina,Antiga travessa em porcelana opalina Colorex. As fotos fazem parte da ,30.0,24,142,270,630,110,444,1.91,0.48,peq/med,,NaT,sem_data,https://miltrekosleiloes.com.br/peca.asp?Id=31134917,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62586/31134917.jpg
opalina,Antiga tigela em porcelana opalina Colorex. As fotos fazem parte da de,30.0,24,142,270,630,110,444,1.91,0.48,peq/med,,NaT,sem_data,https://miltrekosleiloes.com.br/peca.asp?Id=31134919,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62586/31134919.jpg
opalina,"VIDRO, uma (1) cúpula dita cogumelo, confeccionado em vidro opalinado ",30.0,24,142,270,630,110,444,1.91,0.48,peq/med,,NaT,sem_data,https://jotamleiloes.com.br/peca.asp?Id=30909257,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61324/30909257.jpg
opalina,"Antiga travessa em porcelana opalina Colorex Triguinho, mede 36 x 26 c",30.0,24,142,270,630,110,444,1.91,0.48,peq/med,,NaT,sem_data,https://miltrekosleiloes.com.br/peca.asp?Id=31134915,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62586/31134915.jpg
opalina,Antiga xicara e pires em porcelana opalina Colorex. As fotos fazem par,30.0,24,142,270,630,110,444,1.91,0.48,peq/med,,NaT,sem_data,https://miltrekosleiloes.com.br/peca.asp?Id=31134922,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62586/31134922.jpg
opalina,Antiga xicara em porcelana opalina Colorex Triguinho. As fotos fazem p,30.0,24,142,270,630,110,444,1.91,0.48,peq/med,,NaT,sem_data,https://miltrekosleiloes.com.br/peca.asp?Id=31134923,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62586/31134923.jpg
opalina,Par de antigas xicaras em porcelana opalina Colorex Triguinho. As foto,30.0,24,142,270,630,110,444,1.91,0.48,peq/med,,NaT,sem_data,https://miltrekosleiloes.com.br/peca.asp?Id=31134916,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62586/31134916.jpg
opalina,"Antiga tigela em porcelana opalina Colorex, mede 18 cm de diâmetro por",30.0,24,142,270,630,110,444,1.91,0.48,peq/med,,NaT,sem_data,https://miltrekosleiloes.com.br/peca.asp?Id=31134920,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62586/31134920.jpg
opalina,Antiga tigela em porcelana opalina Colorex. As fotos fazem parte da de,30.0,24,142,270,630,110,444,1.91,0.48,peq/med,,NaT,sem_data,https://miltrekosleiloes.com.br/peca.asp?Id=31134918,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62586/31134918.jpg
opalina,Antigo prato em porcelana opalina Colorex. As fotos fazem parte da des,30.0,24,142,270,630,110,444,1.91,0.48,peq/med,,NaT,sem_data,https://miltrekosleiloes.com.br/peca.asp?Id=31134926,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62586/31134926.jpg
prata lei/contr,"ANTIGO TERÇO CONFECCIONADO EM PRATA DE LEI, MEDINDO 37CM.",120.0,7,236,234,720,-18,434,0.99,0.49,peq/med,,NaT,sem_data,https://marthapadilhaleiloeira.lel.br/peca.asp?Id=31036124,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62355/31036124.jpg
