house_domain,auction_house,auction_id,auction_datetime,uf,source_url,scraped_at
vitrinewagantiguidades.com.br,Vitrine Wag Antiguidades,56839,30/10/2025,,https://www.vitrinewagantiguidades.com.br/,2026-06-11T12:18:25
bradg.com.br,Bradg Brazilian Art e Design Gallery,47546,30/10/2024,,https://www.bradg.com.br/,2026-06-11T05:44:40
claudiofirminoleiloeiro.com.br,Claudio Firmino Leiloeiro,47525,30/10/2024,,https://www.claudiofirminoleiloeiro.com.br/,2026-06-11T05:56:15
saojorgeleiloes.com.br,São Jorge Leilões,47573,30/10/2024,,https://www.saojorgeleiloes.com.br/,2026-06-11T11:59:33
mktoyseantique.com.br,MK Toys e Antique,47291,30/10/2024,,https://www.mktoyseantique.com.br/,2026-06-11T12:13:22
brooksleiloes.com.br,Brooks Leilões,38917,30/10/2023,,https://www.brooksleiloes.com.br/,2026-06-11T05:45:29
brambilacolecoes.com.br,Brambila Multicolecionismo e Leilões,39035,30/10/2023,,https://www.brambilacolecoes.com.br/,2026-06-11T12:04:03
santinileiloes.com.br,Santini Leilões,23572,30/10/2021,,https://www.santinileiloes.com.br/,2026-06-11T12:16:39
santinileiloes.com.br,Santini Leilões,17087,30/10/2020,,https://www.santinileiloes.com.br/,2026-06-11T12:16:39
garimpariaculturaleiloes.com.br,Garimparia Cultura Leilões,55206,30/09/2025,,https://www.garimpariaculturaleiloes.com.br/,2026-06-11T05:45:53
claudiosantanaleiloeiro.com.br,Claudio Santana Leiloeiro Público,54992,30/09/2025,,https://www.claudiosantanaleiloeiro.com.br/,2026-06-11T05:56:27
danielchaiebleiloeiro.com.br,Daniel Chaieb - Leiloeiro Oficial,55768,30/09/2025,,https://www.danielchaiebleiloeiro.com.br/,2026-06-11T06:00:33
claudiofirminoleiloeiro.com.br,Claudio Firmino Leiloeiro,54975,30/09/2025,,https://www.claudiofirminoleiloeiro.com.br/,2026-06-11T05:56:15
