house_domain,name,uf,lots_finalizados,lots_vendidos,lots_zero_lance,martelo_medio,lots_ao_vivo,sell_through,zero_bid_rate
fatimagarcialeiloes.com.br,Fátima Garcia Leilões,RJ,310,295,14,92.69152542372882,0,0.9516129032258065,0.04516129032258064
thiagoleiloes.com.br,Thiago Leilões,MG,307,133,174,66.58646616541354,0,0.43322475570032576,0.5667752442996743
ninhodafenixantiquario.com.br,Antiquário Ninho da Fênix,SP,305,104,200,290.96153846153845,0,0.34098360655737703,0.6557377049180327
galeriamob.com.br,Galeria MoB Leilões,,304,246,18,371.7926829268293,0,0.8092105263157895,0.05921052631578947
lagemmeleiloes.com.br,La Gemme Leilões,RJ,302,116,183,4497.181034482759,0,0.3841059602649007,0.6059602649006622
lupaleiloes.com.br,Lupa Leilões,SP,301,145,156,87.45517241379311,0,0.48172757475083056,0.5182724252491694
leilao.lalanda.com.br,Lalanda Brasil,SP,300,91,209,31.52747252747253,0,0.30333333333333334,0.6966666666666667
piresleiloes.com.br,Pires Leilões,SP,300,110,191,3867.9636363636364,0,0.36666666666666664,0.6366666666666667
extremaleiloes.com.br,Extrema Leilões,MG,295,20,275,1566.0,0,0.06779661016949153,0.9322033898305084
esmeraldaleiloes.com.br,Esmeralda Leilões,RJ,292,144,134,834.5347222222222,0,0.4931506849315068,0.4589041095890411
parizmoedas.com.br,Pariz Moedas,PR,290,277,13,89.35018050541517,0,0.9551724137931035,0.04482758620689655
reginaldodacostaleiloes.com.br,Reginaldo da Costa Leilões,RJ,287,61,226,356.39344262295083,0,0.21254355400696864,0.7874564459930313
solangeleiloes.com.br,Solange Chiconelli Leilões,,287,101,186,84.72277227722772,0,0.3519163763066202,0.6480836236933798
rugendasvitorbraga.com.br,Galeria Vitor Braga Leilões,MG,281,126,156,12012.698412698413,0,0.4483985765124555,0.5551601423487544
melhorfasebrinquedos.com.br,Melhor Fase Brinquedos,SP,280,171,109,144.19298245614036,0,0.6107142857142858,0.3892857142857143
ipanemaemporio.com.br,Ipanema Empório Leilões,RJ,279,137,142,1496.8394160583941,0,0.4910394265232975,0.5089605734767025
arteseantiquariobenjamin.com.br,Artes e Antiquário Benjamin,RJ,278,121,158,236.7520661157025,0,0.4352517985611511,0.5683453237410072
cavernavintage.com.br,Caverna Vintage Leilões,,277,216,47,190.03240740740742,0,0.779783393501805,0.16967509025270758
leiloesbrunofrancesco.com.br,Leilões Bruno Francesco,RJ,270,0,270,,0,0.0,1.0
elipellensleiloes.com.br,Eli Pellens Leilões,PR,267,49,218,28.918367346938776,0,0.18352059925093633,0.8164794007490637
llgalerialeiloes.com.br,LL Galeria Leilões,,262,96,165,2785.09375,0,0.366412213740458,0.6297709923664122
zeusnumismaticaeartes.com.br,Zeus Numismática Artes e leilão,SP,258,62,196,104.2258064516129,0,0.24031007751937986,0.7596899224806202
praticoleiloes.com.br,Prático Leilões,SP,258,129,129,44.713178294573645,0,0.5,0.5
leilaotresmarias.com.br,Leilão Três Marias,SP,252,95,157,42.05263157894737,0,0.376984126984127,0.623015873015873
meloleiloeiro.com.br,Melo Leiloeiro,RJ,246,51,195,258.6862745098039,90,0.2073170731707317,0.7926829268292683
flaviacardososoaresleiloes.com.br,Flavia Cardoso Soares - Leiloeira Oficial,SP,244,83,161,415.421686746988,41,0.3401639344262295,0.6598360655737705
leiloesdubai.com.br,Leilões Dubai,RJ,242,208,34,304.11538461538464,0,0.859504132231405,0.14049586776859505
solmarelualeiloes.com.br,Sol Mar e Lua Leilões,SP,233,0,233,,0,0.0,1.0
ipselos.com.br,IP Selos,MT,230,222,8,29.504504504504503,0,0.9652173913043478,0.034782608695652174
leilaothaisalexandre.com.br,Leilão Thais Alexandre,RJ,230,144,85,1136.3541666666667,0,0.6260869565217392,0.3695652173913043
villamilanileiloes.com.br,Villa Milani Antiquário,SP,229,153,72,388.5686274509804,0,0.6681222707423581,0.314410480349345
rosanavaleleiloes.com.br,Rosana Vale Leilões,RJ,228,37,191,316.2972972972973,132,0.16228070175438597,0.8377192982456141
santavelharia.com.br,Santa Velharia Leilões,SP,225,66,159,198.4090909090909,0,0.29333333333333333,0.7066666666666667
soniamontianiseculoxx.com.br,,,224,42,172,658.0952380952381,0,0.1875,0.7678571428571429
marthaburleleiloes.com.br,Martha Burle Escritório de Arte Consultoria ,RJ,221,97,124,3496.8350515463917,0,0.43891402714932126,0.5610859728506787
olhodelibraleiloes.com.br,Olho de Libra Leilões,SP,221,43,177,60.51162790697674,0,0.19457013574660634,0.8009049773755657
